sample_idx,raw_prediction,raw_target,predicted_letter,correct_letter,is_correct,id,tid,question_type,difficulty,category,subcategory,relevant_concepts,answer_letter,answer_text,num_options
155,A),B) 1,A,B,False,156,5,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Piecewise Linear Trend'],B,1,3
156,A),B) Change in variance in underlying distribution,A,B,False,157,71,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Linear Trend', 'Gaussian White Noise', 'Sine Wave']",B,Change in variance in underlying distribution,3
157,A),B) 1.51,A,B,False,158,24,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",B,1.51,3
158,A),A) Scale: the pattern is at obviously different scale at certain point in time,A,A,True,159,65,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Scale Anomaly', 'Wander Anomaly']",A,Scale: the pattern is at obviously different scale at certain point in time,2
159,A),B) No,A,B,False,160,39,binary,easy,Pattern Recognition,Regime Switching Detection,['Regime Switching'],B,No,2
160,A),A) Yes,A,A,True,161,55,binary,easy,Noise Understanding,Signal to Noise Ratio Understanding,['Gaussian White Noise'],A,Yes,2
161,A),C) Sawtooth wave times linear trend,A,C,False,162,72,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Sine Wave', 'Sawtooth Wave', 'Square Wave', 'Linear Trend', 'Log Trend', 'Wander Anomaly']",C,Sawtooth wave times linear trend,3
162,A),B) Time series 2 has higher period,A,B,False,163,84,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave', 'Period']",B,Time series 2 has higher period,2
163,A),"A) No, they are not lagged versions at all",A,A,True,164,100,binary,hard,Causality Analysis,Granger Causality,"['Lagged Pair', 'Red Noise']",A,"No, they are not lagged versions at all",2
164,A),"A) Yes, they are lagged versions",A,A,True,165,102,binary,hard,Causality Analysis,Granger Causality,['Lagged Pair'],A,"Yes, they are lagged versions",2
165,A),C) 5.84,A,C,False,166,51,multiple_choice,easy,Noise Understanding,White Noise Recognition,['Gaussian White Noise'],C,5.84,3
166,A),"A) No, they are not lagged versions",A,A,True,167,99,binary,hard,Causality Analysis,Granger Causality,['Lagged Pair'],A,"No, they are not lagged versions",2
167,A),A) Time series 1,A,A,True,168,60,multiple_choice,hard,Noise Understanding,Signal to Noise Ratio Understanding,"['Sine Wave', 'Exponential Trend', 'Gaussian White Noise', 'Variance']",A,Time series 1,2
168,A),"A) Yes, they have similar seasonal pattern",A,A,True,169,78,binary,easy,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave']",A,"Yes, they have similar seasonal pattern",2
169,A),B) Yes,A,B,False,170,32,binary,hard,Pattern Recognition,Stationarity Detection,['Stationarity'],B,Yes,2
170,A),A) Linear -> Exponential -> Log,A,A,True,171,9,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend', 'Log Trend']",A,Linear -> Exponential -> Log,4
171,A),A) 10.41,A,A,True,172,2,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Linear Trend'],A,10.41,3
172,A),A) Yes,A,A,True,173,34,binary,easy,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Linear Trend', 'Exponential Trend']",A,Yes,2
173,A),A) Yes,A,A,True,174,37,binary,hard,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Sine Wave', 'Linear Trend', 'Gaussian White Noise']",A,Yes,2
174,A),C) Period decrease over time,A,C,False,175,29,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Period']",C,Period decrease over time,3
175,A),B) No significant noise,A,B,False,176,62,multiple_choice,medium,Noise Understanding,Signal to Noise Ratio Understanding,"['Gaussian White Noise', 'Red Noise']",B,No significant noise,3
176,A),C) Remain the same,A,C,False,177,19,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",C,Remain the same,3
177,A),B) 2,A,B,False,178,5,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Piecewise Linear Trend'],B,2,3
178,A),"A) No, they have different cyclic components",A,A,True,179,89,binary,hard,Similarity Analysis,Shape,"['Linear Trend', 'Sine Wave', 'Square Wave']",A,"No, they have different cyclic components",2
179,A),A) Speedup: the period of cyclic components is different from other parts of the time series and Cutoff: the pattern of time series disappeared for certain point in time and became flat,A,A,True,180,68,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",A,Speedup: the period of cyclic components is different from other parts of the time series and Cutoff: the pattern of time series disappeared for certain point in time and became flat,3
180,A),B) Yes,A,B,False,181,35,binary,easy,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Sine Wave', 'Square Wave']",B,Yes,2
181,A),B) Time Series 1,A,B,False,182,44,multiple_choice,hard,Pattern Recognition,First Two Moment Recognition,['Variance'],B,Time Series 1,2
182,A),A) No,A,A,True,183,39,binary,easy,Pattern Recognition,Regime Switching Detection,['Regime Switching'],A,No,2
183,A),"A) No influence, Sinewave",A,A,True,184,58,binary,hard,Noise Understanding,Signal to Noise Ratio Understanding,"['Gaussian White Noise', 'Sine Wave', 'Additive Composition']",A,"No influence, Sinewave",2
184,A),A) No,A,A,True,185,55,binary,easy,Noise Understanding,Signal to Noise Ratio Understanding,['Gaussian White Noise'],A,No,2
185,A),A) Additive,A,A,True,186,59,binary,hard,Noise Understanding,Signal to Noise Ratio Understanding,"['Additive Composition', 'Multiplicative Composition', 'Gaussian White Noise']",A,Additive,2
186,A),"A) Yes, Time series 1 and time series 2 both have cutoff anomaly",A,A,True,187,75,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Spike Anomaly']",A,"Yes, Time series 1 and time series 2 both have cutoff anomaly",2
187,A),A) Cutoff: the pattern of time series disappeared for certain point in time and became flat,A,A,True,188,65,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Scale Anomaly', 'Wander Anomaly']",A,Cutoff: the pattern of time series disappeared for certain point in time and became flat,2
188,A),B) Yes,A,B,False,189,96,multiple_choice,easy,Causality Analysis,Granger Causality,['Lagged Pair'],B,Yes,3
189,A),B) Negative autocorrelation around -0.8,A,B,False,190,45,multiple_choice,easy,Pattern Recognition,AR/MA recognition,['Autocorrelation'],B,Negative autocorrelation around -0.8,3
190,A),A) Sine wave times linear trend,A,A,True,191,72,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Sine Wave', 'Sawtooth Wave', 'Square Wave', 'Linear Trend', 'Log Trend', 'Wander Anomaly']",A,Sine wave times linear trend,3
191,A),C) SineWave,A,C,False,192,20,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Sawtooth Wave', 'Additive Composition', 'Amplitude']",C,SineWave,3
192,A),"A) Yes, they both have exponential trend",A,A,True,193,85,multiple_choice,hard,Similarity Analysis,Shape,"['Linear Trend', 'Exponential Trend', 'Log Trend']",A,"Yes, they both have exponential trend",3
193,A),A) -11.95,A,A,True,194,41,multiple_choice,easy,Pattern Recognition,First Two Moment Recognition,['Mean'],A,-11.95,3
194,A),C) Time series 1 with speed up/down anomaly: the period of cyclic components is different from other parts of the time series,A,C,False,195,73,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Sine Wave', 'Linear Trend', 'Speed Up/Down Anomaly', 'Cutoff Anomaly', 'Flip Anomaly']",C,Time series 1 with speed up/down anomaly: the period of cyclic components is different from other parts of the time series,3
195,A),A) Yes,A,A,True,196,33,multiple_choice,hard,Pattern Recognition,Stationarity Detection,['Stationarity'],A,Yes,3
196,A),A) Yes,A,A,True,197,35,binary,easy,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Sine Wave', 'Square Wave']",A,Yes,2
197,A),"B) Yes, they are lagged versions",A,B,False,198,100,binary,hard,Causality Analysis,Granger Causality,"['Lagged Pair', 'Red Noise']",B,"Yes, they are lagged versions",2
198,A),"C) Yes, they have the same variance",A,C,False,199,93,multiple_choice,hard,Similarity Analysis,Distributional,"['Red Noise', 'Variance']",C,"Yes, they have the same variance",3
199,A),C) Sawtooth wave times linear trend,A,C,False,200,72,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Sine Wave', 'Sawtooth Wave', 'Square Wave', 'Linear Trend', 'Log Trend', 'Wander Anomaly']",C,Sawtooth wave times linear trend,3
